Lux

0.0
0.0
0.0
0.0
289.93546
326.0242
301.57443
101.009315
1.6585569
1.0
1.0
1.0
1.0
1.0
1.0
1.0
2.705686
154.05032
606.4845
5133.9214
13447.349
18127.162
15542.055
2184.0251
1327.6805
1045.1832
828.75586
540.3565
411.66
289.9986
271.11026
59.42325
1.2132629
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.3955373
32.235123
151.40164
336.11304
547.79785
756.51636
1218.831
700.062
610.1461
470.53366
400.01578
395.37537
265.62604
197.10106
96.21924
7.4769845
1.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
3.2392318
199.77173
1482.0569
1008.17365
929.51135
1040.7208
736.4292
648.48413
599.6545
461.15973
390.1681
284.70276
268.79398
240.83511
163.83261
57.588905
1.3687794
0.0
0.0
0.0
0.0
0.0
0.0
0.0
1.0
19.9943
431.22592
764.11383
1013.54956
1174.5885
856.3694
714.38983
601.5572
516.4858
431.77686
297.9035
245.12332
224.05019
150.3477
19.5041
1.0387515
1.0
0.0
0.0
0.0
0.0
0.0
0.0
2.6707692
86.86028
1252.9706
566.8889
1418.5265
932.5587
953.18256
719.27844
574.44653
466.6576
390.02557
286.7691
252.76588
235.51314
134.5287
39.736828
1.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
2.372711
85.717125
1288.9681
772.5295
1910.693
1125.8251
858.2708
788.3053
596.04297
452.11914
389.46976
326.46127
262.69235
175.62936
88.24274
41.147923
1.1900827
0.0
0.0
0.0
0.0
0.0
0.0
0.0
2.1755438
82.66175
1371.2496
643.0032
1599.1204
1262.178
1298.5103
