Lux,Temp-degree,Particles2.5,Particles10
NaN,NaN,NaN,NaN
1414.3104,24.038889,4.9805555,1.4944445
4940.4336,24.913649,5.1142063,1.3871866
5706.283,24.686111,3.8611112,1.0444444
967.6727,23.025,3.463889,0.8333333
492.01236,22.0,2.7938719,0.6545961
197.77647,21.127777,2.9555554,0.68333334
13.979285,20.411112,2.5722222,0.46388888
1.0,19.504179,2.4094708,0.5821727
1.0,18.744444,2.3805556,0.41111112
1.0,18.0,2.1444445,0.45
1.0,17.122562,2.281337,0.41225627
1.0,16.76389,2.3916667,0.28333333
1.0,16.0,2.2222223,0.4722222
1.0,15.677871,2.0336134,0.3697479
1.0,15.0,2.0694444,0.32222223
1.0,14.969444,2.0333333,0.32222223
7.0474,14.0,1.3777778,0.1388889
48.874477,14.0,1.5988858,0.3231198
227.31387,15.066667,1.9472222,0.34444445
309.98596,19.919445,1.6444445,0.27222222
283.9227,22.116991,1.3426183,0.2339833
321.9587,22.355556,1.3722222,0.16666667
1022.19794,23.108334,1.2944444,0.22222222
1368.033,23.409472,1.2172701,0.15041783
1804.8651,23.630556,2.0666666,0.325
1692.8058,22.033333,5.95,1.1611111
5028.8423,23.24234,6.091922,1.1559888
1444.4756,23.791666,4.0666666,0.6888889
670.32794,23.713888,3.6555555,0.70555556
212.24464,22.306406,3.5208914,0.44568247
10.553594,20.805555,3.6555555,0.50555557
1.0,19.791666,3.6666667,0.57222223
1.0,18.958218,3.1476324,0.59052926
1.0,18.0,3.0722222,0.35555556
1.0,17.26389,2.838889,0.45555556
1.0,16.844011,2.632312,0.5125348
1.0,16.0,2.75,0.45
1.0,15.791667,2.586111,0.2888889
1.0,15.0,2.5877438,0.45961002
1.0,15.0,2.5539773,0.42045453
16.516125,14.3,2.8055556,0.61944443
109.27092,14.0,2.3788302,0.26183844
338.6604,14.0,2.0277777,0.3888889
248.5759,14.447222,2.2777777,0.37222221
286.96414,19.367687,2.1309192,0.36768803
552.36487,21.608334,2.2055554,0.45555556
646.22015,22.705555,3.4388888,0.8194444
725.4774,23.08078,3.2200558,0.6963788
720.1558,23.355556,2.875,0.58055556
357.34366,22.569445,4.2,0.7777778
300.64047,20.932774,3.5238094,0.6386555
203.26067,20.0,2.7827299,0.545961
161.91605,19.175,2.6083333,0.5888889
66.80495,18.61111,3.1472223,0.64444447
9.466361,18.0,2.6768801,0.4958217
1.0,17.480556,2.3222222,0.3361111
1.0,17.0,2.5916667,0.36666667
1.0,17.0,2.7548747,0.40947077
1.0,16.483334,2.488889,0.40833333
1.0,16.0,2.6305556,0.31666666
1.0,16.0,2.0696378,0.3119777
1.0,16.0,2.15,0.41111112
1.0,15.45,2.4222221,0.3888889
1.0,15.0,2.2506964,0.362117
7.5975814,15.0,1.9194444,0.29444444
58.093273,15.0,1.9527777,0.35
120.94523,15.0,1.9388889,0.2888889
185.09244,17.239553,2.0362117,0.3454039
242.69002,21.391666,1.3777778,0.16666667
1202.1782,22.683332,2.8444445,0.9916667
943.16504,23.194986,2.643454,0.96657383
1132.0328,23.583334,2.0972223,0.51666665
1822.5809,24.044445,1.8527777,0.44444445
476.23495,23.933147,1.4289694,0.3119777
495.85764,24.213888,1.2444445,0.31666666
302.09134,24.227777,0.99722224,0.21666667
134.73683,24.264624,1.097493,0.15041783
64.71125,23.5,0.85,0.16666667
7.7766194,21.666666,0.75277776,0.15555556
1.0,20.612814,0.6963788,0.10584958
1.0,19.780556,0.6166667,0.083333336
1.0,19.0,0.94722223,0.21111111
1.0,18.167131,1.0222842,0.20612814
1.0,17.816668,0.93333334,0.21666667
1.0,17.0,0.90555555,0.12777779
1.0,16.841227,0.88022286,0.13370474
1.0,16.0,0.8333333,0.12777779
1.0,16.0,0.6611111,0.11111111
12.122046,15.222841,0.8579387,0.1281337
97.55129,15.0,0.8666667,0.17222223
251.81332,15.0,0.65555555,0.08888889
440.67862,15.0,0.8833333,0.14444445
751.38947,15.0,0.62952644,0.10027855
965.3666,15.0,0.8333333,0.08888889
966.22156,17.788889,0.5777778,0.07777778
813.1073,22.264624,0.52924794,0.06685237
1172.0411,23.587744,0.95543176,0.17270195
45163.82,7.6718144,0.17760618,0.038610037
65536.0,0.0,0.0,0.0
65536.0,0.0,0.0,0.0
65536.0,0.0,0.0,0.0
65536.0,0.0,0.0,0.0
65536.0,0.0,0.0,0.0
65536.0,0.0,0.0,0.0
65536.0,0.0,0.0,0.0
65536.0,0.0,0.0,0.0
65536.0,0.0,0.0,0.0
65536.0,0.0,0.0,0.0
65536.0,0.0,0.0,0.0
65536.0,0.0,0.0,0.0
65536.0,0.0,0.0,0.0
65536.0,0.0,0.0,0.0
65536.0,0.0,0.0,0.0
