temp,light
8.209334824,259.8135593
8.03549469,229.4333333
8.001397429,212.8333333
8,206.1186441
8,199.2666667
8,195.220339
8,190.8333333
7.999161543,191.9666667
7.974007826,196.9830508
7.835987706,205.2166667
7.577417552,218.55
7.296534377,221.6101695
7.03213188,226.3666667
7.001397429,229.9666667
7,229.7627119
7,226.4833333
7.584800224,212.8644068
8.308552264,205.7333333
9.000838457,208.7833333
9.531022918,208.7457627
9.998882057,203.5833333
9.943839061,193.8666667
9.27724986,188.440678
9.000558971,183.1833333
8.994130799,170.0508475
8.604358759,159.8666667
8.097540525,156.1833333
8.000838457,152.1355932
8,147.1833333
7.994689771,145
7.861654556,143.7627119
7.540804919,136.45
7.238636364,128.7833333
7.037171604,128.0847458
7.006987144,128.9
7.000558815,128.1864407
7,128.4333333
7,131.3
7,136.6271186
7,136.55
7.001397429,132.5
7.026551146,131.4237288
7.06314613,132.55
7.228339855,135.9833333
7.33705981,134.8474576
7.290025147,132.6833333
7.283398547,131
7.066238122,130.7833333
7.018440905,127.9333333
7.000279486,127
7,130.3166667
7,135.2
7,138.1186441
7,139.5666667
7,137.5932203
7,135.7833333
7,136.2166667
7,135.0338983
7,130.35
7,118.4333333
7,105.8644068
6.999720514,105
6.999720514,109.5
7,103.4915254
7,95.7
7.006428172,88.91525424
7.393126572,82.56666667
7.776131917,80.56666667
7.993292342,82.16949153
7.998602571,84.33333333
7.9963677,84.15
7.751257686,82.88135593
7.223868083,79.7
7.004191115,73.63333333
7,67.91525424
7,66.01666667
6.999441185,66.3220339
6.9960872,70.3
6.935718278,77.61666667
6.831517184,81.16949153
6.574343208,78.75
6.379821129,74.98333333
6.141659681,73.47457627
6.031302404,77.1
6.001117631,76.81666667
6,76.50847458
6,76.71666667
6,75.3220339
6.002515372,73.73333333
6.556176635,73.03333333
7.421464505,71.11864407
8.020955574,69.06666667
8.034656233,64.88333333
8.005310229,59.44067797
8.005308745,55.13333333
8,52.74576271
7.999161543,55.01666667
7.651299246,59.28333333
7.134991615,60.27118644
7.000279486,59.71666667
7,61.7
7,64.38983051
6.998882057,64.51666667
6.945794915,63.46666667
6.829234209,62.66101695
6.740078256,63.1
6.536742107,65.20338983
6.373113471,68.31666667
6.385410844,69.08333333
6.456831517,65.98305085
6.581330352,59.4
6.817495808,53.51666667
6.996926516,52.05084746
7,52.36666667
7.060648407,52.88333333
7.670019559,55.45762712
7.784795975,56.76666667
7.791503633,59.89830508
7.860296172,64.15
8.152040246,64.7
8.995528228,62.18644068
9.626048072,60.26666667
9.999441185,59.7
10,60.44067797
10.01257686,63.2
10.23979877,65.15254237
10.65707099,66.83333333
10.94186696,69.78333333
10.99888237,71.23728814
11,72.36666667
11,74.81666667
11,72.66101695
11,72.9
11.17551705,70.35
12,70.08474576
12,70.23333333
12.1020123,71.38983051
12.98965903,70.41666667
13,67.96666667
12.99972051,66.40677966
12.94494131,66.15
12.78759083,65.28333333
12.51481274,62.40677966
12.11738401,60.91666667
12,59.75
12,60.45762712
12,56.13333333
12,55.13559322
11.99496926,50.91666667
11.94605925,49.25
11.88708776,50.06779661
11.78898826,51.03333333
11.67579653,50.01666667
11.58160984,49.44067797
11.4921744,47.48333333
11.31078815,44.6
11.17295334,43.05084746
11.11738401,44.21666667
11.11123533,44.6779661
11.17467859,44.76666667
11.62716601,45.58333333
11.96003354,45.45762712
12.55142538,43.28333333
13,41.85
13,42.01694915
12.98882057,41.86666667
12.69983231,40.18333333
